company,model,first_release_date
OpenAI,gpt-4o-audio-preview,2024-10-17
OpenAI,gpt-4o-audio-preview-2024-10-01,2024-10-17
OpenAI,cua-text-emb-small,2024-11-05
OpenAI,gpt-4o-2024-11-20,2024-11-20
OpenAI,omni-moderation-2024-09-26,2024-12-04
OpenAI,omni-moderation-latest,2024-12-04
Gemini,models/gemini-2.0-flash-exp,2024-12-11
OpenAI,gpt-4o-audio-preview-2024-12-17,2024-12-17
OpenAI,gpt-4o-mini-realtime-preview,2024-12-17
OpenAI,gpt-4o-mini-realtime-preview-2024-12-17,2024-12-17
OpenAI,gpt-4o-realtime-preview-2024-12-17,2024-12-17
Gemini,models/gemini-2.0-flash-thinking-exp,2024-12-19
Gemini,models/gemini-2.0-flash-thinking-exp-1219,2024-12-19
OpenAI,gpt-4o-mini-audio-preview,2024-12-19
OpenAI,gpt-4o-mini-audio-preview-2024-12-17,2024-12-19
OpenAI,gpt4o-1p-cbv4-v43-2120-api,2024-12-19
OpenAI,gpt4o-1p-cbv4-v43-2120-api-dev,2024-12-19
OpenAI,o1,2024-12-19
OpenAI,o1-2024-12-17,2024-12-19
Gemini,models/gemini-2.0-flash-thinking-exp-01-21,2025-01-21
OpenAI,o3-mini,2025-01-31
OpenAI,o3-mini-2025-01-31,2025-01-31
Gemini,models/gemini-2.0-flash,2025-02-05
Gemini,models/gemini-2.0-flash-001,2025-02-05
Gemini,models/gemini-2.0-flash-lite-preview,2025-02-05
Gemini,models/gemini-2.0-flash-lite-preview-02-05,2025-02-05
Gemini,models/gemini-2.0-pro-exp,2025-02-05
Gemini,models/gemini-2.0-pro-exp-02-05,2025-02-05
Gemini,models/imagen-3.0-generate-002,2025-02-06
Gemini,models/gemini-2.0-flash-lite,2025-02-25
Gemini,models/gemini-2.0-flash-lite-001,2025-02-25
OpenAI,gpt-4.5-preview,2025-02-27
OpenAI,gpt-4.5-preview-2025-02-27,2025-02-27
OpenAI,gpt4o-dream-ev3,2025-02-28
Gemini,models/gemini-embedding-exp,2025-03-07
Gemini,models/gemini-embedding-exp-03-07,2025-03-07
OpenAI,computer-use-preview,2025-03-11
OpenAI,computer-use-preview-2025-03-11,2025-03-11
OpenAI,gpt-4o-mini-search-preview,2025-03-11
OpenAI,gpt-4o-mini-search-preview-2025-03-11,2025-03-11
OpenAI,gpt-4o-search-preview,2025-03-11
OpenAI,gpt-4o-search-preview-2025-03-11,2025-03-11
Gemini,models/gemma-3-27b-it,2025-03-12
Gemini,models/gemini-2.0-flash-exp-image-generation,2025-03-14
OpenAI,gpt-4o-2411-kl,2025-03-18
OpenAI,o1-pro,2025-03-19
OpenAI,o1-pro-2025-03-19,2025-03-19
OpenAI,gpt-4o-mini-transcribe,2025-03-20
OpenAI,gpt-4o-mini-tts,2025-03-20
OpenAI,gpt-4o-transcribe,2025-03-20
OpenAI,omni-moderation-latest-ev3,2025-03-24
Gemini,models/gemini-2.5-pro-exp-03-25,2025-03-25
Gemini,models/gemma-3-12b-it,2025-04-01
Gemini,models/gemma-3-4b-it,2025-04-01
Gemini,models/gemma-3-1b-it,2025-04-02
OpenAI,gpt4o-sd,2025-04-03
Gemini,models/gemini-2.5-pro-preview-03-25,2025-04-04
Gemini,models/gemini-2.0-flash-live-001,2025-04-09
Gemini,models/veo-2.0-generate-001,2025-04-09
OpenAI,gpt-4.1,2025-04-14
OpenAI,gpt-4.1-2025-04-14,2025-04-14
OpenAI,gpt-4.1-mini,2025-04-14
OpenAI,gpt-4.1-mini-2025-04-14,2025-04-14
OpenAI,gpt-4.1-nano,2025-04-14
OpenAI,gpt-4.1-nano-2025-04-14,2025-04-14
OpenAI,o3,2025-04-16
OpenAI,o3-2025-04-16,2025-04-16
OpenAI,o4-mini,2025-04-16
OpenAI,o4-mini-2025-04-16,2025-04-16
Gemini,models/gemini-2.5-flash-preview-04-17,2025-04-17
Gemini,models/learnlm-2.0-flash-experimental,2025-04-17
OpenAI,gpt-image-1,2025-04-25
Gemini,models/gemini-2.5-pro-preview-05-06,2025-05-06
Gemini,models/gemini-2.0-flash-preview-image-generation,2025-05-07
Gemini,models/gemini-2.5-flash-preview-04-17-thinking,2025-05-07
OpenAI,o4-mini-gumdrop-pt-0513,2025-05-14
OpenAI,o4-mini-gumdrop-pt-0514,2025-05-14
OpenAI,codex-mini-latest,2025-05-16
Gemini,models/gemini-2.5-flash-preview-05-20,2025-05-20
Gemini,models/gemma-3n-e4b-it,2025-05-20
Gemini,models/gemini-2.5-flash-preview-tts,2025-05-21
Gemini,models/gemini-2.5-pro-preview-tts,2025-05-21
Anthropic,claude-opus-4-20250514,2025-05-22
Anthropic,claude-sonnet-4-20250514,2025-05-22
OpenAI,gpt-4.1-nano-2025-04-14-codex-offline-mon,2025-06-03
OpenAI,gpt-4o-audio-preview-2025-06-03,2025-06-03
OpenAI,gpt-4o-realtime-preview-2025-06-03,2025-06-03
Gemini,models/gemini-2.5-pro-preview-06-05,2025-06-05
OpenAI,o3-pro,2025-06-10
OpenAI,o3-pro-2025-06-10,2025-06-10
Gemini,models/gemini-2.5-flash-preview-native-audio-dialog,2025-06-12
Gemini,models/gemini-2.5-flash,2025-06-17
Gemini,models/gemini-2.5-flash-1p,2025-06-17
Gemini,models/gemini-2.5-flash-1p-recitation-off,2025-06-17
Gemini,models/gemini-2.5-flash-lite-preview-06-11-summarized,2025-06-17
Gemini,models/gemini-2.5-flash-lite-preview-06-17,2025-06-17
Gemini,models/gemini-2.5-pro,2025-06-17
Gemini,models/gemini-2.5-pro-1p,2025-06-17
Gemini,models/gemini-2.5-pro-1p-recitation-off,2025-06-17
Gemini,models/gemma-3n-e2b-it,2025-06-26
OpenAI,o3-deep-research,2025-06-26
OpenAI,o3-deep-research-2025-06-26,2025-06-26
OpenAI,o4-mini-deep-research,2025-06-26
OpenAI,o4-mini-deep-research-2025-06-26,2025-06-26
Gemini,models/gemini-embedding-001,2025-07-14
Gemini,models/gemini-2.5-flash-lite,2025-07-22
Gemini,models/imagen-4.0-generate-preview-06-06,2025-07-28
Anthropic,claude-opus-4-1-20250805,2025-08-05
OpenAI,gpt-5,2025-08-07
OpenAI,gpt-5-2025-08-07,2025-08-07
OpenAI,gpt-5-chat-latest,2025-08-07
OpenAI,gpt-5-mini,2025-08-07
OpenAI,gpt-5-mini-2025-08-07,2025-08-07
OpenAI,gpt-5-nano,2025-08-07
OpenAI,gpt-5-nano-2025-08-07,2025-08-07
Gemini,models/gemini-2.5-flash-image-preview,2025-08-26
OpenAI,gpt-audio,2025-08-28
OpenAI,gpt-audio-2025-08-28,2025-08-28
OpenAI,gpt-realtime,2025-08-28
OpenAI,gpt-realtime-2025-08-28,2025-08-28
Grok,grok-4-fast-non-reasoning,2025-09-20
Grok,grok-4-fast-reasoning,2025-09-20
OpenAI,gpt-5-codex,2025-09-23
Gemini,models/gemini-2.5-flash-lite-preview-09-2025,2025-09-25
Gemini,models/gemini-2.5-flash-preview-09-2025,2025-09-25
Gemini,models/gemini-flash-latest,2025-09-25
Gemini,models/gemini-flash-lite-latest,2025-09-25
Gemini,models/gemini-pro-latest,2025-09-25
Gemini,models/gemini-robotics-er-1.5-preview,2025-09-25
Gemini,models/imagen-4.0-generate-001,2025-09-27
Gemini,models/imagen-4.0-ultra-generate-preview-06-06,2025-09-27
Anthropic,claude-sonnet-4-5-20250929,2025-09-29
Gemini,models/gemini-2.5-flash-image,2025-10-02
OpenAI,text-embedding-3-small-okan-test,2025-10-02
